Date Sold,Address,Land Area,Beds,Baths,Cars,Sale Price,Link
25 NOV 2021,"13/7 Short Street, BORONIA HEIGHTS QLD 4124",450m²,4,2,2,460000,https://www.domain.com.au/13-7-short-street-boronia-heights-qld-4124-2017381336
25 NOV 2021,"48/99 Short Street, BORONIA HEIGHTS QLD 4124",338m²,3,2,1,273000,https://www.domain.com.au/48-99-short-street-boronia-heights-qld-4124-2017269826
24 NOV 2021,"12 Grand Central Court, BORONIA HEIGHTS QLD 4124","1,427m²",3,1,1,545000,https://www.domain.com.au/12-grand-central-court-boronia-heights-qld-4124-2017380781
15 NOV 2021,"51 Mortlake Crescent, BORONIA HEIGHTS QLD 4124",640m²,4,2,2,600000,https://www.domain.com.au/51-mortlake-crescent-boronia-heights-qld-4124-2017378971
15 NOV 2021,"101 Flinders Crescent, BORONIA HEIGHTS QLD 4124","1,159m²",2,1,2,505000,https://www.domain.com.au/101-flinders-crescent-boronia-heights-qld-4124-2017345695
11 NOV 2021,"7 Elmwood Court, BORONIA HEIGHTS QLD 4124",649m²,4,1,1,467000,https://www.domain.com.au/7-elmwood-court-boronia-heights-qld-4124-2017337130
08 NOV 2021,"10 Colburn Court, BORONIA HEIGHTS QLD 4124",658m²,4,2,1,590000,https://www.domain.com.au/10-colburn-court-boronia-heights-qld-4124-2017392315
05 NOV 2021,"15 Fedrick Street, BORONIA HEIGHTS QLD 4124",600m²,3,1,2,460000,https://www.domain.com.au/15-fedrick-street-boronia-heights-qld-4124-2017362348
01 NOV 2021,"58 Jacaranda Avenue, BORONIA HEIGHTS QLD 4124","6,381m²",5,3,2,750000,https://www.domain.com.au/58-jacaranda-avenue-boronia-heights-qld-4124-2017195683
26 OCT 2021,"5 Yvonne Drive, BORONIA HEIGHTS QLD 4124",725m²,3,1,1,385500,https://www.domain.com.au/5-yvonne-drive-boronia-heights-qld-4124-2017369891
25 OCT 2021,"36/6 Mactier Drive, BORONIA HEIGHTS QLD 4124",N/A,3,2,1,320000,https://www.domain.com.au/36-6-mactier-drive-boronia-heights-qld-4124-2017360799
25 OCT 2021,"43 Mackellar Drive, BORONIA HEIGHTS QLD 4124",400m²,3,2,2,335000,https://www.domain.com.au/43-mackellar-drive-boronia-heights-qld-4124-2017161895
20 OCT 2021,"4 Dampier Court, BORONIA HEIGHTS QLD 4124",600m²,3,1,2,451000,https://www.domain.com.au/4-dampier-court-boronia-heights-qld-4124-2017283983
20 OCT 2021,"14 Jade Garden, BORONIA HEIGHTS QLD 4124",400m²,3,2,1,345000,https://www.domain.com.au/14-jade-garden-boronia-heights-qld-4124-2017295025
13 OCT 2021,"9 Mareeba Court, BORONIA HEIGHTS QLD 4124",600m²,4,2,1,500000,https://www.domain.com.au/9-mareeba-court-boronia-heights-qld-4124-2017407790
12 OCT 2021,"118 Short Street, BORONIA HEIGHTS QLD 4124",616m²,4,1,6,420000,https://www.domain.com.au/118-short-street-boronia-heights-qld-4124-2016863289
07 OCT 2021,"12 Hysten Street, BORONIA HEIGHTS QLD 4124",622m²,3,1,1,356000,https://www.domain.com.au/12-hysten-street-boronia-heights-qld-4124-2017308279
05 OCT 2021,"6 Rick Court, BORONIA HEIGHTS QLD 4124",608m²,3,1,2,432750,https://www.domain.com.au/6-rick-court-boronia-heights-qld-4124-2017253138
04 OCT 2021,"1/7 Short Street, BORONIA HEIGHTS QLD 4124",451m²,4,2,2,445000,https://www.domain.com.au/1-7-short-street-boronia-heights-qld-4124-2017290697
29 SEP 2021,"13 Gatland Court, BORONIA HEIGHTS QLD 4124",603m²,3,2,2,450000,https://www.domain.com.au/13-gatland-court-boronia-heights-qld-4124-2017412080
29 SEP 2021,"1 Bixby Court, BORONIA HEIGHTS QLD 4124",N/A,4,1,1,426000,https://www.domain.com.au/1-bixby-court-boronia-heights-qld-4124-2017216088
27 SEP 2021,"6 Town Court, BORONIA HEIGHTS QLD 4124",879m²,4,2,4,626000,https://www.domain.com.au/6-town-court-boronia-heights-qld-4124-2017244511
27 SEP 2021,"5 Rice Court, BORONIA HEIGHTS QLD 4124",635m²,3,1,0,406000,https://www.domain.com.au/5-rice-court-boronia-heights-qld-4124-2017353886
24 SEP 2021,"4 Shelford Court, BORONIA HEIGHTS QLD 4124",614m²,4,1,2,450000,https://www.domain.com.au/4-shelford-court-boronia-heights-qld-4124-2017210977
21 SEP 2021,"6 Lyndon Court, BORONIA HEIGHTS QLD 4124",608m²,4,2,1,440000,https://www.domain.com.au/6-lyndon-court-boronia-heights-qld-4124-2017226741
20 SEP 2021,"15 Lutton Court, BORONIA HEIGHTS QLD 4124",619m²,4,1,1,440000,https://www.domain.com.au/15-lutton-court-boronia-heights-qld-4124-2017219042
19 SEP 2021,"54 Jacaranda Avenue, BORONIA HEIGHTS QLD 4124","4,137m²",5,2,2,750000,https://www.domain.com.au/54-jacaranda-avenue-boronia-heights-qld-4124-2017195556
17 SEP 2021,"39 MacKellar Drive, BORONIA HEIGHTS QLD 4124",846m²,3,1,6,545000,https://www.domain.com.au/39-mackellar-drive-boronia-heights-qld-4124-2017249103
16 SEP 2021,"11 Wilkins Court, BORONIA HEIGHTS QLD 4124",603m²,4,1,1,455000,https://www.domain.com.au/11-wilkins-court-boronia-heights-qld-4124-2017184438
13 SEP 2021,"20 Hysten Street, BORONIA HEIGHTS QLD 4124",675m²,3,1,1,385000,https://www.domain.com.au/20-hysten-street-boronia-heights-qld-4124-2017122538
13 SEP 2021,"6 Strathallen Drive, BORONIA HEIGHTS QLD 4124",782m²,3,1,1,421000,https://www.domain.com.au/6-strathallen-drive-boronia-heights-qld-4124-2017216144
13 SEP 2021,"29 Network Drive, BORONIA HEIGHTS QLD 4124",639m²,3,1,1,335000,https://www.domain.com.au/29-network-drive-boronia-heights-qld-4124-2017209762
12 SEP 2021,"34/6 Mactier Drive, BORONIA HEIGHTS QLD 4124",N/A,3,2,1,325000,https://www.domain.com.au/34-6-mactier-drive-boronia-heights-qld-4124-2017209754
12 SEP 2021,"16 Tenielle Street, BORONIA HEIGHTS QLD 4124",423m²,4,2,2,480000,https://www.domain.com.au/16-tenielle-street-boronia-heights-qld-4124-2017200558
10 SEP 2021,"9 Victor Street, BORONIA HEIGHTS QLD 4124","5,000m²",4,2,2,1195000,https://www.domain.com.au/9-victor-street-boronia-heights-qld-4124-2017220740
01 SEP 2021,"14 Kadlunga Court, BORONIA HEIGHTS QLD 4124",463m²,4,2,2,510000,https://www.domain.com.au/14-kadlunga-court-boronia-heights-qld-4124-2017144554
30 AUG 2021,"1 Foxhall Street, BORONIA HEIGHTS QLD 4124",923m²,4,3,2,637000,https://www.domain.com.au/1-foxhall-street-boronia-heights-qld-4124-2017412007
29 AUG 2021,BORONIA HEIGHTS QLD 4124BORONIA HEIGHTS QLD 4124,503m²,5,3,2,570000,https://www.domain.com.au/boronia-heights-qld-4124-2016822733
27 AUG 2021,"26 Coronation Road, BORONIA HEIGHTS QLD 4124",466m²,3,1,1,385000,https://www.domain.com.au/26-coronation-road-boronia-heights-qld-4124-2017205696
24 AUG 2021,"134 Short Street, BORONIA HEIGHTS QLD 4124",615m²,3,1,2,395000,https://www.domain.com.au/134-short-street-boronia-heights-qld-4124-2017185367
20 AUG 2021,"136 Short Street, BORONIA HEIGHTS QLD 4124",602m²,4,1,1,376500,https://www.domain.com.au/136-short-street-boronia-heights-qld-4124-2017094918
19 AUG 2021,"18/54-64 Short Street, BORONIA HEIGHTS QLD 4124",128m²,3,2,1,240000,https://www.domain.com.au/18-54-64-short-street-boronia-heights-qld-4124-2017023702
18 AUG 2021,"4 Flinders Crescent, BORONIA HEIGHTS QLD 4124",799m²,3,2,2,467500,https://www.domain.com.au/4-flinders-crescent-boronia-heights-qld-4124-2017163673
12 AUG 2021,"91 Short Street, BORONIA HEIGHTS QLD 4124",501m²,3,1,1,361000,https://www.domain.com.au/91-short-street-boronia-heights-qld-4124-2017151605
10 AUG 2021,"24-26 Poinciana Drive, BORONIA HEIGHTS QLD 4124","4,000m²",6,3,8,925000,https://www.domain.com.au/24-26-poinciana-drive-boronia-heights-qld-4124-2017092246
05 AUG 2021,BORONIA HEIGHTS QLD 4124BORONIA HEIGHTS QLD 4124,503m²,5,3,2,567000,https://www.domain.com.au/boronia-heights-qld-4124-2016827572
05 AUG 2021,BORONIA HEIGHTS QLD 4124BORONIA HEIGHTS QLD 4124,503m²,5,3,2,567000,https://www.domain.com.au/boronia-heights-qld-4124-2016827571
03 AUG 2021,"19 Lutton Court, BORONIA HEIGHTS QLD 4124",655m²,3,1,1,362500,https://www.domain.com.au/19-lutton-court-boronia-heights-qld-4124-2017099524
30 JUL 2021,"5 Flinders Crescent, BORONIA HEIGHTS QLD 4124",885m²,5,3,2,577000,https://www.domain.com.au/5-flinders-crescent-boronia-heights-qld-4124-2017104671
28 JUL 2021,"17 Barry Street, BORONIA HEIGHTS QLD 4124",576m²,4,2,2,406000,https://www.domain.com.au/17-barry-street-boronia-heights-qld-4124-2017043653
26 JUL 2021,"18 Macauley Drive, BORONIA HEIGHTS QLD 4124",783m²,3,1,2,415000,https://www.domain.com.au/18-macauley-drive-boronia-heights-qld-4124-2017069025
26 JUL 2021,"16 Karingal Court, BORONIA HEIGHTS QLD 4124",665m²,4,2,1,450000,https://www.domain.com.au/16-karingal-court-boronia-heights-qld-4124-2017030305
26 JUL 2021,"14/54-64 Short Street, BORONIA HEIGHTS QLD 4124",132m²,3,2,1,240000,https://www.domain.com.au/14-54-64-short-street-boronia-heights-qld-4124-2017154275
23 JUL 2021,"Short Street, BORONIA HEIGHTS QLD 4124",484m²,4,2,2,400000,https://www.domain.com.au/short-street-boronia-heights-qld-4124-2017046457
22 JUL 2021,"10 Conlan Street, BORONIA HEIGHTS QLD 4124",605m²,3,1,2,350000,https://www.domain.com.au/10-conlan-street-boronia-heights-qld-4124-2017049349
21 JUL 2021,"3 Mortlake Crescent, BORONIA HEIGHTS QLD 4124",647m²,3,1,2,375000,https://www.domain.com.au/3-mortlake-crescent-boronia-heights-qld-4124-2017118581
20 JUL 2021,"48 Network Drive, BORONIA HEIGHTS QLD 4124",617m²,4,1,2,450000,https://www.domain.com.au/48-network-drive-boronia-heights-qld-4124-2017206411
20 JUL 2021,"17 Florence Street, BORONIA HEIGHTS QLD 4124",720m²,4,1,2,462000,https://www.domain.com.au/17-florence-street-boronia-heights-qld-4124-2017111008
14 JUL 2021,"131 Flinders Crescent, BORONIA HEIGHTS QLD 4124",663m²,3,1,2,365000,https://www.domain.com.au/131-flinders-crescent-boronia-heights-qld-4124-2017036833
14 JUL 2021,"53 Network Drive, BORONIA HEIGHTS QLD 4124",602m²,3,1,2,421000,https://www.domain.com.au/53-network-drive-boronia-heights-qld-4124-2017092066
13 JUL 2021,"7 Hargrill Court, BORONIA HEIGHTS QLD 4124",720m²,3,2,2,427000,https://www.domain.com.au/7-hargrill-court-boronia-heights-qld-4124-2017061682
08 JUL 2021,"17 Whetton Court, BORONIA HEIGHTS QLD 4124",665m²,4,2,0,450000,https://www.domain.com.au/17-whetton-court-boronia-heights-qld-4124-2017071054
03 JUL 2021,"44 St Johns Way, BORONIA HEIGHTS QLD 4124",809m²,5,3,2,580000,https://www.domain.com.au/44-st-johns-way-boronia-heights-qld-4124-2017053245
