Date Sold,Address,Land Area,Beds,Baths,Cars,Sale Price,Link
26 NOV 2021,"34 FORESTWOOD STREET, CRESTMEAD QLD 4132",785m²,3,1,2,423000,https://www.domain.com.au/34-forestwood-street-crestmead-qld-4132-2017318599
20 NOV 2021,"19 Kyogle Street, CRESTMEAD QLD 4132",720m²,4,1,2,440000,https://www.domain.com.au/19-kyogle-street-crestmead-qld-4132-2017381142
17 NOV 2021,"7 Celtic Street, CRESTMEAD QLD 4132",642m²,4,2,2,440000,https://www.domain.com.au/7-celtic-street-crestmead-qld-4132-2016896505
16 NOV 2021,"13 Jobson Place, CRESTMEAD QLD 4132",451m²,4,2,1,471000,https://www.domain.com.au/13-jobson-place-crestmead-qld-4132-2017358153
14 NOV 2021,"20 Bursaria Street, CRESTMEAD QLD 4132",629m²,3,1,1,420000,https://www.domain.com.au/20-bursaria-street-crestmead-qld-4132-2017402874
12 NOV 2021,"34 Limerick Drive, CRESTMEAD QLD 4132",621m²,3,1,3,425000,https://www.domain.com.au/34-limerick-drive-crestmead-qld-4132-2017297644
10 NOV 2021,"3 Waratah Drive, CRESTMEAD QLD 4132",721m²,4,2,0,480000,https://www.domain.com.au/3-waratah-drive-crestmead-qld-4132-2017218652
10 NOV 2021,"31 Griffen Place, CRESTMEAD QLD 4132",410m²,4,2,1,410000,https://www.domain.com.au/31-griffen-place-crestmead-qld-4132-2017311690
09 NOV 2021,"11 Grandview Road, CRESTMEAD QLD 4132",634m²,3,2,1,435000,https://www.domain.com.au/11-grandview-road-crestmead-qld-4132-2017305637
05 NOV 2021,"18 Jobson Place, CRESTMEAD QLD 4132",659m²,4,2,2,451000,https://www.domain.com.au/18-jobson-place-crestmead-qld-4132-2017170280
04 NOV 2021,"34 Conradi Avenue, CRESTMEAD QLD 4132",491m²,4,2,2,496000,https://www.domain.com.au/34-conradi-avenue-crestmead-qld-4132-2017342496
04 NOV 2021,"16 Lorraine Street, CRESTMEAD QLD 4132",621m²,4,1,2,435000,https://www.domain.com.au/16-lorraine-street-crestmead-qld-4132-2017269253
03 NOV 2021,"25 Limerick Drive, CRESTMEAD QLD 4132",604m²,4,3,2,602000,https://www.domain.com.au/25-limerick-drive-crestmead-qld-4132-2017137233
02 NOV 2021,"6 Tanglin Street, CRESTMEAD QLD 4132",515m²,4,2,2,500000,https://www.domain.com.au/6-tanglin-street-crestmead-qld-4132-2017333259
01 NOV 2021,"12/8 Shareece Court, CRESTMEAD QLD 4132",114m²,2,1,1,249000,https://www.domain.com.au/12-8-shareece-court-crestmead-qld-4132-2017294035
22 OCT 2021,"15 Lycoris Street, CRESTMEAD QLD 4132",706m²,3,2,1,397500,https://www.domain.com.au/15-lycoris-street-crestmead-qld-4132-2017195940
22 OCT 2021,"45 Rachel Drive, CRESTMEAD QLD 4132",456m²,4,2,2,520000,https://www.domain.com.au/45-rachel-drive-crestmead-qld-4132-2017312464
22 OCT 2021,"48 Wilkinson Drive, CRESTMEAD QLD 4132",667m²,4,1,3,440000,https://www.domain.com.au/48-wilkinson-drive-crestmead-qld-4132-2017316976
20 OCT 2021,"38 Lockyer Place, CRESTMEAD QLD 4132",450m²,4,2,2,507000,https://www.domain.com.au/38-lockyer-place-crestmead-qld-4132-2017232781
13 OCT 2021,"2 Clint Parade, CRESTMEAD QLD 4132",553m²,4,2,2,485000,https://www.domain.com.au/2-clint-parade-crestmead-qld-4132-2017239636
12 OCT 2021,"35 Myall Street, CRESTMEAD QLD 4132",604m²,3,1,1,361000,https://www.domain.com.au/35-myall-street-crestmead-qld-4132-2017396359
11 OCT 2021,"15 Greenpark Drive, CRESTMEAD QLD 4132",479m²,5,3,2,560000,https://www.domain.com.au/15-greenpark-drive-crestmead-qld-4132-2017215611
11 OCT 2021,"15 Serissa Street, CRESTMEAD QLD 4132",605m²,3,1,2,428000,https://www.domain.com.au/15-serissa-street-crestmead-qld-4132-2017236797
10 OCT 2021,"3 Chrysanthus Street, CRESTMEAD QLD 4132",558m²,4,2,2,502000,https://www.domain.com.au/3-chrysanthus-street-crestmead-qld-4132-2017306060
04 OCT 2021,"7 Waratah Drive, CRESTMEAD QLD 4132",721m²,3,2,1,426000,https://www.domain.com.au/7-waratah-drive-crestmead-qld-4132-2017311074
04 OCT 2021,"24 CLAYTON COURT, CRESTMEAD QLD 4132",514m²,4,2,4,501000,https://www.domain.com.au/24-clayton-court-crestmead-qld-4132-2017039469
04 OCT 2021,"18 Venture Street, CRESTMEAD QLD 4132",466m²,4,2,3,510000,https://www.domain.com.au/18-venture-street-crestmead-qld-4132-2017243991
01 OCT 2021,"9/18 Tremain Street, CRESTMEAD QLD 4132",N/A,3,2,2,370000,https://www.domain.com.au/9-18-tremain-street-crestmead-qld-4132-2016973666
30 SEP 2021,"17 Coachwood Street, CRESTMEAD QLD 4132",746m²,3,1,2,449000,https://www.domain.com.au/17-coachwood-street-crestmead-qld-4132-2017253139
28 SEP 2021,"12 Houston Drive, CRESTMEAD QLD 4132",502m²,4,2,2,440000,https://www.domain.com.au/12-houston-drive-crestmead-qld-4132-2017244814
26 SEP 2021,"7 Bushlark Street, CRESTMEAD QLD 4132",720m²,3,1,1,420000,https://www.domain.com.au/7-bushlark-street-crestmead-qld-4132-2017238874
25 SEP 2021,"21/7 Billabong Dr, CRESTMEAD QLD 4132",340m²,3,1,1,290000,https://www.domain.com.au/21-7-billabong-dr-crestmead-qld-4132-2017216624
24 SEP 2021,"4 Bushlark Street, CRESTMEAD QLD 4132",739m²,3,1,2,400000,https://www.domain.com.au/4-bushlark-street-crestmead-qld-4132-2017209186
