Date Sold,Address,Land Area,Beds,Baths,Cars,Sale Price,Link
04 NOV 2021,"34 Conradi Avenue, CRESTMEAD QLD 4132",491m²,4,2,2,496000,https://www.domain.com.au/34-conradi-avenue-crestmead-qld-4132-2017342496
04 NOV 2021,"16 Lorraine Street, CRESTMEAD QLD 4132",621m²,4,1,2,435000,https://www.domain.com.au/16-lorraine-street-crestmead-qld-4132-2017269253
01 NOV 2021,"12/8 Shareece Court, CRESTMEAD QLD 4132",114m²,2,1,1,249000,https://www.domain.com.au/12-8-shareece-court-crestmead-qld-4132-2017294035
22 OCT 2021,"15 Lycoris Street, CRESTMEAD QLD 4132",706m²,3,2,1,397500,https://www.domain.com.au/15-lycoris-street-crestmead-qld-4132-2017195940
22 OCT 2021,"45 Rachel Drive, CRESTMEAD QLD 4132",456m²,4,2,2,520000,https://www.domain.com.au/45-rachel-drive-crestmead-qld-4132-2017312464
20 OCT 2021,"38 Lockyer Place, CRESTMEAD QLD 4132",450m²,4,2,2,507000,https://www.domain.com.au/38-lockyer-place-crestmead-qld-4132-2017232781
18 OCT 2021,"44 Ironwood Street, CRESTMEAD QLD 4132",644m²,3,1,0,415000,https://www.domain.com.au/44-ironwood-street-crestmead-qld-4132-2017306499
13 OCT 2021,"2 Clint Parade, CRESTMEAD QLD 4132",553m²,4,2,2,485000,https://www.domain.com.au/2-clint-parade-crestmead-qld-4132-2017239636
11 OCT 2021,"15 Serissa Street, CRESTMEAD QLD 4132",605m²,3,1,2,428000,https://www.domain.com.au/15-serissa-street-crestmead-qld-4132-2017236797
11 OCT 2021,"15 Greenpark Drive, CRESTMEAD QLD 4132",479m²,5,3,2,560000,https://www.domain.com.au/15-greenpark-drive-crestmead-qld-4132-2017215611
04 OCT 2021,"7 Waratah Drive, CRESTMEAD QLD 4132",721m²,3,2,1,426000,https://www.domain.com.au/7-waratah-drive-crestmead-qld-4132-2017311074
04 OCT 2021,"24 CLAYTON COURT, CRESTMEAD QLD 4132",514m²,4,2,4,501000,https://www.domain.com.au/24-clayton-court-crestmead-qld-4132-2017039469
30 SEP 2021,"17 Coachwood Street, CRESTMEAD QLD 4132",746m²,3,1,2,449000,https://www.domain.com.au/17-coachwood-street-crestmead-qld-4132-2017253139
28 SEP 2021,"12 Houston Drive, CRESTMEAD QLD 4132",502m²,4,2,2,440000,https://www.domain.com.au/12-houston-drive-crestmead-qld-4132-2017244814
26 SEP 2021,"7 Bushlark Street, CRESTMEAD QLD 4132",720m²,3,1,1,420000,https://www.domain.com.au/7-bushlark-street-crestmead-qld-4132-2017238874
24 SEP 2021,"4 Bushlark Street, CRESTMEAD QLD 4132",739m²,3,1,2,400000,https://www.domain.com.au/4-bushlark-street-crestmead-qld-4132-2017209186
16 SEP 2021,"7 Beelong Street, CRESTMEAD QLD 4132",720m²,3,1,1,365000,https://www.domain.com.au/7-beelong-street-crestmead-qld-4132-2017266635
16 SEP 2021,"6 Pidgeon Boulevard, CRESTMEAD QLD 4132",452m²,4,2,2,450000,https://www.domain.com.au/6-pidgeon-boulevard-crestmead-qld-4132-2017249071
15 SEP 2021,"25 Robert South Drive, CRESTMEAD QLD 4132",450m²,3,1,1,355000,https://www.domain.com.au/25-robert-south-drive-crestmead-qld-4132-2017198236
14 SEP 2021,"5 Nolina Court, CRESTMEAD QLD 4132",930m²,3,1,0,440000,https://www.domain.com.au/5-nolina-court-crestmead-qld-4132-2017230976
13 SEP 2021,"37 Limerick Drive, CRESTMEAD QLD 4132",603m²,3,1,2,421500,https://www.domain.com.au/37-limerick-drive-crestmead-qld-4132-2017214681
11 SEP 2021,"7 Serissa Street, CRESTMEAD QLD 4132",614m²,3,1,0,355000,https://www.domain.com.au/7-serissa-street-crestmead-qld-4132-2017307975
09 SEP 2021,"4 Morrow Street, CRESTMEAD QLD 4132",667m²,5,2,2,481000,https://www.domain.com.au/4-morrow-street-crestmead-qld-4132-2017235160
09 SEP 2021,"46 Paperbark Street, CRESTMEAD QLD 4132",720m²,3,2,0,455000,https://www.domain.com.au/46-paperbark-street-crestmead-qld-4132-2017121707
06 SEP 2021,"5 Beelong Street, CRESTMEAD QLD 4132",720m²,3,1,2,388500,https://www.domain.com.au/5-beelong-street-crestmead-qld-4132-2017145638
03 SEP 2021,"5 Barakee Street, CRESTMEAD QLD 4132",723m²,3,1,2,390000,https://www.domain.com.au/5-barakee-street-crestmead-qld-4132-2017178911
02 SEP 2021,"2 Wisdom Way, CRESTMEAD QLD 4132",638m²,4,2,2,498000,https://www.domain.com.au/2-wisdom-way-crestmead-qld-4132-2016739509
02 SEP 2021,"10 Gow Court, CRESTMEAD QLD 4132",510m²,4,2,2,441000,https://www.domain.com.au/10-gow-court-crestmead-qld-4132-2017153360
02 SEP 2021,"2 Rutyna Crescent, CRESTMEAD QLD 4132",472m²,4,2,2,375000,https://www.domain.com.au/2-rutyna-crescent-crestmead-qld-4132-2017234136
29 AUG 2021,"15 Judith Street, CRESTMEAD QLD 4132",500m²,4,2,2,460000,https://www.domain.com.au/15-judith-street-crestmead-qld-4132-2017195947
26 AUG 2021,"3 Blackbutt Street, CRESTMEAD QLD 4132",849m²,3,3,4,550055,https://www.domain.com.au/3-blackbutt-street-crestmead-qld-4132-2017155502
26 AUG 2021,"8 Bloodwood Street, CRESTMEAD QLD 4132",639m²,3,1,0,340000,https://www.domain.com.au/8-bloodwood-street-crestmead-qld-4132-2017290864
24 AUG 2021,"11 Chesan Court, CRESTMEAD QLD 4132",552m²,4,2,2,490000,https://www.domain.com.au/11-chesan-court-crestmead-qld-4132-2017186989
23 AUG 2021,"15 Pinewood Street, CRESTMEAD QLD 4132",695m²,3,1,2,340000,https://www.domain.com.au/15-pinewood-street-crestmead-qld-4132-2017149034
18 AUG 2021,"7 Kyogle Street, CRESTMEAD QLD 4132",722m²,3,1,3,380000,https://www.domain.com.au/7-kyogle-street-crestmead-qld-4132-2017104020
18 AUG 2021,"14 Quandong Street, CRESTMEAD QLD 4132",673m²,3,1,0,401500,https://www.domain.com.au/14-quandong-street-crestmead-qld-4132-2017168228
16 AUG 2021,"4 Citron Court, CRESTMEAD QLD 4132",638m²,3,1,4,345000,https://www.domain.com.au/4-citron-court-crestmead-qld-4132-2016896569
14 AUG 2021,"14 Pinnington Street, CRESTMEAD QLD 4132",600m²,4,1,2,375000,https://www.domain.com.au/14-pinnington-street-crestmead-qld-4132-2017126598
13 AUG 2021,"5 Overton Court, CRESTMEAD QLD 4132",662m²,4,2,2,420000,https://www.domain.com.au/5-overton-court-crestmead-qld-4132-2017084999
10 AUG 2021,"25 Griffen Place, CRESTMEAD QLD 4132",360m²,4,2,1,370000,https://www.domain.com.au/25-griffen-place-crestmead-qld-4132-2017135975
06 AUG 2021,"14 Venture Street, CRESTMEAD QLD 4132",462m²,4,2,2,388000,https://www.domain.com.au/14-venture-street-crestmead-qld-4132-2017082805
03 AUG 2021,"18 Bloodwood Street, CRESTMEAD QLD 4132",700m²,3,1,2,375000,https://www.domain.com.au/18-bloodwood-street-crestmead-qld-4132-2017221620
03 AUG 2021,"31 Bursaria St, CRESTMEAD QLD 4132",681m²,3,1,1,350000,https://www.domain.com.au/31-bursaria-st-crestmead-qld-4132-2017056075
02 AUG 2021,"7 Carex Court, CRESTMEAD QLD 4132",637m²,4,1,2,365000,https://www.domain.com.au/7-carex-court-crestmead-qld-4132-2017027226
02 AUG 2021,"19 Wisdom Way, CRESTMEAD QLD 4132",505m²,3,1,1,375000,https://www.domain.com.au/19-wisdom-way-crestmead-qld-4132-2017090590
31 JUL 2021,"25 Lorikeet Way, CRESTMEAD QLD 4132",726m²,4,2,2,617500,https://www.domain.com.au/25-lorikeet-way-crestmead-qld-4132-2017225372
27 JUL 2021,"5 Parkside Drive, CRESTMEAD QLD 4132",604m²,3,1,0,420000,https://www.domain.com.au/5-parkside-drive-crestmead-qld-4132-2017149599
26 JUL 2021,"6 Inga Street, CRESTMEAD QLD 4132",600m²,3,1,1,337500,https://www.domain.com.au/6-inga-street-crestmead-qld-4132-2017078721
24 JUL 2021,"2 Bruce Baker Crescent, CRESTMEAD QLD 4132",555m²,5,3,2,560000,https://www.domain.com.au/2-bruce-baker-crescent-crestmead-qld-4132-2017104022
23 JUL 2021,"4/7 Billabong Dr, CRESTMEAD QLD 4132",354m²,3,1,1,295000,https://www.domain.com.au/4-7-billabong-dr-crestmead-qld-4132-2017126496
17 JUL 2021,"42 Allspice Street, CRESTMEAD QLD 4132",644m²,4,1,4,390000,https://www.domain.com.au/42-allspice-street-crestmead-qld-4132-2017010176
15 JUL 2021,"11 Lorikeet Way, CRESTMEAD QLD 4132",566m²,4,2,2,460000,https://www.domain.com.au/11-lorikeet-way-crestmead-qld-4132-2017030314
13 JUL 2021,"6 Greenpark Drive, CRESTMEAD QLD 4132",454m²,4,2,2,428000,https://www.domain.com.au/6-greenpark-drive-crestmead-qld-4132-2017050871
12 JUL 2021,"44 Coffey Street, CRESTMEAD QLD 4132",609m²,4,1,2,345000,https://www.domain.com.au/44-coffey-street-crestmead-qld-4132-2017083569
12 JUL 2021,"16 Geaney Boulevard, CRESTMEAD QLD 4132",458m²,3,1,0,361000,https://www.domain.com.au/16-geaney-boulevard-crestmead-qld-4132-2017094917
08 JUL 2021,"90 Forestwood Street, CRESTMEAD QLD 4132",799m²,4,1,2,359000,https://www.domain.com.au/90-forestwood-street-crestmead-qld-4132-2017030308
07 JUL 2021,"30 Whiteman Street, CRESTMEAD QLD 4132",642m²,4,2,2,430000,https://www.domain.com.au/30-whiteman-street-crestmead-qld-4132-2016953257
07 JUL 2021,"4 Calder Court, CRESTMEAD QLD 4132",603m²,4,2,2,390000,https://www.domain.com.au/4-calder-court-crestmead-qld-4132-2017053850
06 JUL 2021,"6 Abbeyfeale Street, CRESTMEAD QLD 4132",725m²,3,2,4,406000,https://www.domain.com.au/6-abbeyfeale-street-crestmead-qld-4132-2017100137
06 JUL 2021,"20 Peppermint Street, CRESTMEAD QLD 4132",674m²,3,1,3,350000,https://www.domain.com.au/20-peppermint-street-crestmead-qld-4132-2017027667
06 JUL 2021,"12 Peppermint Street, CRESTMEAD QLD 4132",661m²,3,1,2,340000,https://www.domain.com.au/12-peppermint-street-crestmead-qld-4132-2017005500
06 JUL 2021,"26 Rutyna Cres, CRESTMEAD QLD 4132","1,071m²",4,2,4,500000,https://www.domain.com.au/26-rutyna-cres-crestmead-qld-4132-2016965705
26 JUN 2021,"12 Bursaria Street, CRESTMEAD QLD 4132",644m²,3,1,1,385000,https://www.domain.com.au/12-bursaria-street-crestmead-qld-4132-2017083190
20 JUN 2021,"9 Craig Street, CRESTMEAD QLD 4132",600m²,4,2,2,420000,https://www.domain.com.au/9-craig-street-crestmead-qld-4132-2017079602
18 JUN 2021,"21 Meranti Street, CRESTMEAD QLD 4132",853m²,3,1,1,350000,https://www.domain.com.au/21-meranti-street-crestmead-qld-4132-2017069367
15 JUN 2021,"1 Serissa Street, CRESTMEAD QLD 4132",652m²,3,1,1,339000,https://www.domain.com.au/1-serissa-street-crestmead-qld-4132-2017055572
14 JUN 2021,"25 Liao Court, CRESTMEAD QLD 4132","1,012m²",5,2,1,463000,https://www.domain.com.au/25-liao-court-crestmead-qld-4132-2016939442
31 MAY 2021,"26 Trulson Drive, CRESTMEAD QLD 4132",961m²,3,1,8,419000,https://www.domain.com.au/26-trulson-drive-crestmead-qld-4132-2016991641
31 MAY 2021,"5 Crinum Street, CRESTMEAD QLD 4132",640m²,3,1,4,363000,https://www.domain.com.au/5-crinum-street-crestmead-qld-4132-2016986975
31 MAY 2021,"13 Clint Parade, CRESTMEAD QLD 4132",501m²,4,2,4,475000,https://www.domain.com.au/13-clint-parade-crestmead-qld-4132-2016970568
29 MAY 2021,"9 Waratah Drive, CRESTMEAD QLD 4132",721m²,3,1,2,397765,https://www.domain.com.au/9-waratah-drive-crestmead-qld-4132-2017011044
26 MAY 2021,"8/8 Shareece Court, CRESTMEAD QLD 4132",114m²,2,1,1,218000,https://www.domain.com.au/8-8-shareece-court-crestmead-qld-4132-2016982796
25 MAY 2021,"68 Waratah Drive, CRESTMEAD QLD 4132",600m²,3,1,2,345000,https://www.domain.com.au/68-waratah-drive-crestmead-qld-4132-2016974707
24 MAY 2021,"18 Augusta Street, CRESTMEAD QLD 4132",626m²,3,1,1,329000,https://www.domain.com.au/18-augusta-street-crestmead-qld-4132-2016927840
21 MAY 2021,"14 Bushlark Street, CRESTMEAD QLD 4132",739m²,3,1,2,365000,https://www.domain.com.au/14-bushlark-street-crestmead-qld-4132-2017087956
21 MAY 2021,"11 Clint Parade, CRESTMEAD QLD 4132",518m²,3,1,1,380000,https://www.domain.com.au/11-clint-parade-crestmead-qld-4132-2016986312
21 MAY 2021,"14 Pine Grove Drive, CRESTMEAD QLD 4132",620m²,4,2,2,388000,https://www.domain.com.au/14-pine-grove-drive-crestmead-qld-4132-2016885392
19 MAY 2021,"23 Liao Court, CRESTMEAD QLD 4132",776m²,3,1,1,305000,https://www.domain.com.au/23-liao-court-crestmead-qld-4132-2016972236
14 MAY 2021,"18 Kilby Street, CRESTMEAD QLD 4132",600m²,3,1,1,313000,https://www.domain.com.au/18-kilby-street-crestmead-qld-4132-2017037651
12 MAY 2021,"22 Augusta Street, CRESTMEAD QLD 4132",626m²,3,1,1,287500,https://www.domain.com.au/22-augusta-street-crestmead-qld-4132-2016850282
06 MAY 2021,"10 James Street, CRESTMEAD QLD 4132",601m²,4,2,2,395000,https://www.domain.com.au/10-james-street-crestmead-qld-4132-2017072025
30 APR 2021,"31 Coffey Street, CRESTMEAD QLD 4132",600m²,3,1,2,350000,https://www.domain.com.au/31-coffey-street-crestmead-qld-4132-2016841933
23 APR 2021,"15 Ironwood Street, CRESTMEAD QLD 4132",600m²,3,1,1,317000,https://www.domain.com.au/15-ironwood-street-crestmead-qld-4132-2016853284
21 APR 2021,"44 Limerick Drive, CRESTMEAD QLD 4132",601m²,3,2,2,410000,https://www.domain.com.au/44-limerick-drive-crestmead-qld-4132-2016793657
