Date Sold,Address,Land Area,Beds,Baths,Cars,Sale Price,Link
29 NOV 2021,"23 Duesbury Crescent, EDENS LANDING QLD 4207","1,217m²",5,3,4,731000,https://www.domain.com.au/23-duesbury-crescent-edens-landing-qld-4207-2017238130
22 NOV 2021,"186 Castile Crescent, EDENS LANDING QLD 4207",698m²,4,2,2,423000,https://www.domain.com.au/186-castile-crescent-edens-landing-qld-4207-2017342250
21 NOV 2021,"39 Grove Road, EDENS LANDING QLD 4207","1,293m²",4,1,2,640000,https://www.domain.com.au/39-grove-road-edens-landing-qld-4207-2017320014
15 NOV 2021,"38 Overland Drive, EDENS LANDING QLD 4207",872m²,4,2,2,665000,https://www.domain.com.au/38-overland-drive-edens-landing-qld-4207-2017372263
05 NOV 2021,"25 Chatfield Street, EDENS LANDING QLD 4207",618m²,4,1,1,417000,https://www.domain.com.au/25-chatfield-street-edens-landing-qld-4207-2017298411
03 NOV 2021,"18 Kummara Road, EDENS LANDING QLD 4207",673m²,3,1,1,380000,https://www.domain.com.au/18-kummara-road-edens-landing-qld-4207-2017128184
28 OCT 2021,"10 Gariswood Court, EDENS LANDING QLD 4207",462m²,3,2,2,484800,https://www.domain.com.au/10-gariswood-court-edens-landing-qld-4207-2017316465
27 OCT 2021,"14/1 Delanty Court, EDENS LANDING QLD 4207",N/A,3,1,1,287500,https://www.domain.com.au/14-1-delanty-court-edens-landing-qld-4207-2017276598
26 OCT 2021,"119 Overland Drive, EDENS LANDING QLD 4207",576m²,4,2,2,430000,https://www.domain.com.au/119-overland-drive-edens-landing-qld-4207-2017315064
25 OCT 2021,"6 Kings Lane, EDENS LANDING QLD 4207",690m²,4,2,2,552265,https://www.domain.com.au/6-kings-lane-edens-landing-qld-4207-2017294620
21 OCT 2021,"6/129 Castile Cr, EDENS LANDING QLD 4207",N/A,2,1,1,273000,https://www.domain.com.au/6-129-castile-cr-edens-landing-qld-4207-2017252591
18 OCT 2021,"32 Wantana Crescent, EDENS LANDING QLD 4207",926m²,4,2,2,614500,https://www.domain.com.au/32-wantana-crescent-edens-landing-qld-4207-2017293251
11 OCT 2021,"31/125 Overland Drive, EDENS LANDING QLD 4207",75m²,3,1,1,233000,https://www.domain.com.au/31-125-overland-drive-edens-landing-qld-4207-2017209480
06 OCT 2021,"38 Auburn Street, EDENS LANDING QLD 4207",524m²,4,1,2,355000,https://www.domain.com.au/38-auburn-street-edens-landing-qld-4207-2016871913
05 OCT 2021,"35 Bella Vista Circuit, EDENS LANDING QLD 4207",652m²,4,2,2,486000,https://www.domain.com.au/35-bella-vista-circuit-edens-landing-qld-4207-2017245074
24 SEP 2021,"28/125 Overland Dr, EDENS LANDING QLD 4207",N/A,3,1,1,229000,https://www.domain.com.au/28-125-overland-dr-edens-landing-qld-4207-2017101004
21 SEP 2021,"7 Kings Row, EDENS LANDING QLD 4207",607m²,4,2,2,465000,https://www.domain.com.au/7-kings-row-edens-landing-qld-4207-2017104395
20 SEP 2021,"4 Jonath Court, EDENS LANDING QLD 4207",300m²,3,2,1,355000,https://www.domain.com.au/4-jonath-court-edens-landing-qld-4207-2017148003
27 AUG 2021,"52 Avonmore Street, EDENS LANDING QLD 4207",664m²,3,1,1,375000,https://www.domain.com.au/52-avonmore-street-edens-landing-qld-4207-2017161782
26 AUG 2021,"41 Lucy Drive, EDENS LANDING QLD 4207",750m²,5,3,5,649000,https://www.domain.com.au/41-lucy-drive-edens-landing-qld-4207-2017132076
25 AUG 2021,"45/108 Overland Drive, EDENS LANDING QLD 4207",N/A,3,2,1,310000,https://www.domain.com.au/45-108-overland-drive-edens-landing-qld-4207-2017204505
23 AUG 2021,"1/66 Castile Crescent, EDENS LANDING QLD 4207",216m²,3,2,2,335000,https://www.domain.com.au/1-66-castile-crescent-edens-landing-qld-4207-2017024366
20 AUG 2021,"10 Lintrose Court, EDENS LANDING QLD 4207",673m²,4,1,2,465000,https://www.domain.com.au/10-lintrose-court-edens-landing-qld-4207-2017180425
12 AUG 2021,"65 Kummara Road, EDENS LANDING QLD 4207",737m²,4,2,1,380000,https://www.domain.com.au/65-kummara-road-edens-landing-qld-4207-2017042030
10 AUG 2021,"20 Hanby Court, EDENS LANDING QLD 4207",600m²,3,2,1,403000,https://www.domain.com.au/20-hanby-court-edens-landing-qld-4207-2017155166
10 AUG 2021,"118 Castile Crescent, EDENS LANDING QLD 4207",600m²,4,1,1,425000,https://www.domain.com.au/118-castile-crescent-edens-landing-qld-4207-2017144458
09 AUG 2021,"33 Tregana Circuit, EDENS LANDING QLD 4207",464m²,3,1,1,350000,https://www.domain.com.au/33-tregana-circuit-edens-landing-qld-4207-2017098085
03 AUG 2021,"8 Gillespie Close, EDENS LANDING QLD 4207",828m²,4,2,2,434000,https://www.domain.com.au/8-gillespie-close-edens-landing-qld-4207-2017116304
29 JUL 2021,"26 Houdini Terrace, EDENS LANDING QLD 4207",700m²,3,1,4,375000,https://www.domain.com.au/26-houdini-terrace-edens-landing-qld-4207-2017008393
19 JUL 2021,"179 Castile Crescent, EDENS LANDING QLD 4207",935m²,4,2,2,520000,https://www.domain.com.au/179-castile-crescent-edens-landing-qld-4207-2017056226
19 JUL 2021,"23/112 Overland Drive, EDENS LANDING QLD 4207",181m²,3,1,1,235000,https://www.domain.com.au/23-112-overland-drive-edens-landing-qld-4207-2017012967
13 JUL 2021,"38 Kummara Road, EDENS LANDING QLD 4207",808m²,4,2,2,380000,https://www.domain.com.au/38-kummara-road-edens-landing-qld-4207-2016999212
12 JUL 2021,"39 Lima Street, EDENS LANDING QLD 4207","1,320m²",3,1,3,525000,https://www.domain.com.au/39-lima-street-edens-landing-qld-4207-2017048311
30 JUN 2021,"24 Hanby Court, EDENS LANDING QLD 4207","1,032m²",3,2,1,440000,https://www.domain.com.au/24-hanby-court-edens-landing-qld-4207-2017058113
18 JUN 2021,"14 Kummara Road, EDENS LANDING QLD 4207",823m²,4,2,1,475000,https://www.domain.com.au/14-kummara-road-edens-landing-qld-4207-2016970492
18 JUN 2021,"6-8 Hillside Crescent, EDENS LANDING QLD 4207","1,510m²",4,3,2,665500,https://www.domain.com.au/6-8-hillside-crescent-edens-landing-qld-4207-2016738865
18 JUN 2021,"62 Avonmore Street, EDENS LANDING QLD 4207",668m²,3,1,2,379000,https://www.domain.com.au/62-avonmore-street-edens-landing-qld-4207-2016999025
16 JUN 2021,"7 Moffatt Place, EDENS LANDING QLD 4207","1,037m²",3,1,3,460000,https://www.domain.com.au/7-moffatt-place-edens-landing-qld-4207-2017048245
10 JUN 2021,"11 Natone Court, EDENS LANDING QLD 4207",844m²,3,1,2,401000,https://www.domain.com.au/11-natone-court-edens-landing-qld-4207-2016997641
08 JUN 2021,"18 Costigan Terrace, EDENS LANDING QLD 4207",755m²,4,3,2,610000,https://www.domain.com.au/18-costigan-terrace-edens-landing-qld-4207-2017014932
27 MAY 2021,"6 Brim Court, EDENS LANDING QLD 4207",900m²,3,1,1,433000,https://www.domain.com.au/6-brim-court-edens-landing-qld-4207-2016964581
21 MAY 2021,"41 Kummara Road, EDENS LANDING QLD 4207",660m²,4,2,2,420000,https://www.domain.com.au/41-kummara-road-edens-landing-qld-4207-2016953238
14 MAY 2021,"40 Avonmore Street, EDENS LANDING QLD 4207",900m²,3,1,2,374000,https://www.domain.com.au/40-avonmore-street-edens-landing-qld-4207-2016931275
13 MAY 2021,"18 Hinterwood Court, EDENS LANDING QLD 4207",650m²,4,2,2,485000,https://www.domain.com.au/18-hinterwood-court-edens-landing-qld-4207-2016962180
12 MAY 2021,"38 William Nixon Way, EDENS LANDING QLD 4207",806m²,4,3,2,540000,https://www.domain.com.au/38-william-nixon-way-edens-landing-qld-4207-2017014741
07 MAY 2021,"2/137 Overland Drive, EDENS LANDING QLD 4207",164m²,3,2,2,320000,https://www.domain.com.au/2-137-overland-drive-edens-landing-qld-4207-2016958643
29 APR 2021,"173 Castile Crescent, EDENS LANDING QLD 4207",948m²,5,3,4,640000,https://www.domain.com.au/173-castile-crescent-edens-landing-qld-4207-2016897821
27 APR 2021,"16/1 Delanty Court, EDENS LANDING QLD 4207",N/A,3,1,1,281000,https://www.domain.com.au/16-1-delanty-court-edens-landing-qld-4207-2016889146
23 APR 2021,"6-8 Jonath Court, EDENS LANDING QLD 4207",675m²,3,1,2,366000,https://www.domain.com.au/6-8-jonath-court-edens-landing-qld-4207-2016907130
23 APR 2021,"26 Clayton Drive, EDENS LANDING QLD 4207",628m²,3,1,1,350000,https://www.domain.com.au/26-clayton-drive-edens-landing-qld-4207-2016804662
21 APR 2021,"11 Kummara Road, EDENS LANDING QLD 4207",647m²,3,2,1,361000,https://www.domain.com.au/11-kummara-road-edens-landing-qld-4207-2014576713
21 APR 2021,"16 Castile Crescent, EDENS LANDING QLD 4207","5,657m²",4,2,2,735000,https://www.domain.com.au/16-castile-crescent-edens-landing-qld-4207-2016906737
