Date Sold,Address,Land Area,Beds,Baths,Cars,Sale Price,Link
26 NOV 2021,"77 Main Street, REDLAND BAY QLD 4165",739m²,4,2,3,945000,https://www.domain.com.au/77-main-street-redland-bay-qld-4165-2017327188
22 NOV 2021,"183 Cane Street, REDLAND BAY QLD 4165",506m²,3,1,1,538000,https://www.domain.com.au/183-cane-street-redland-bay-qld-4165-2017378055
19 NOV 2021,"9 Maree Pl, REDLAND BAY QLD 4165",611m²,4,2,2,665000,https://www.domain.com.au/9-maree-pl-redland-bay-qld-4165-2017304980
18 NOV 2021,"85 Torquay Road, REDLAND BAY QLD 4165",728m²,5,3,2,1280000,https://www.domain.com.au/85-torquay-road-redland-bay-qld-4165-2017331638
18 NOV 2021,"3 Moreton View Parade, REDLAND BAY QLD 4165",700m²,3,1,4,760000,https://www.domain.com.au/3-moreton-view-parade-redland-bay-qld-4165-2017306892
14 NOV 2021,"17 Moores Road, REDLAND BAY QLD 4165",400m²,4,2,2,832000,https://www.domain.com.au/17-moores-road-redland-bay-qld-4165-2017397562
11 NOV 2021,"1 Labib Street, REDLAND BAY QLD 4165",704m²,4,3,4,987000,https://www.domain.com.au/1-labib-street-redland-bay-qld-4165-2017309760
04 NOV 2021,"2/190 James Street, REDLAND BAY QLD 4165",N/A,3,2,1,500000,https://www.domain.com.au/2-190-james-street-redland-bay-qld-4165-2017338942
04 NOV 2021,"10 Lizard Place, REDLAND BAY QLD 4165",450m²,4,2,2,750000,https://www.domain.com.au/10-lizard-place-redland-bay-qld-4165-2017356358
31 OCT 2021,"35 Emperor Drive, REDLAND BAY QLD 4165",606m²,4,2,2,780000,https://www.domain.com.au/35-emperor-drive-redland-bay-qld-4165-2017347323
29 OCT 2021,"97 Dart Street, REDLAND BAY QLD 4165",761m²,3,1,1,520000,https://www.domain.com.au/97-dart-street-redland-bay-qld-4165-2017453441
28 OCT 2021,"35 Cypress Street, REDLAND BAY QLD 4165",593m²,4,3,5,840000,https://www.domain.com.au/35-cypress-street-redland-bay-qld-4165-2017182376
27 OCT 2021,"16 Oakland Avenue, REDLAND BAY QLD 4165",468m²,5,4,2,1140000,https://www.domain.com.au/16-oakland-avenue-redland-bay-qld-4165-2017187627
27 OCT 2021,"111 Torquay Road, REDLAND BAY QLD 4165",415m²,4,3,2,1261000,https://www.domain.com.au/111-torquay-road-redland-bay-qld-4165-2017339636
26 OCT 2021,"40 Marjorie Buckler Avenue, REDLAND BAY QLD 4165",668m²,4,2,2,738000,https://www.domain.com.au/40-marjorie-buckler-avenue-redland-bay-qld-4165-2017297822
26 OCT 2021,"8 Marine Street, REDLAND BAY QLD 4165",675m²,3,2,2,700000,https://www.domain.com.au/8-marine-street-redland-bay-qld-4165-2017339746
24 OCT 2021,"21 Pentecost Place, REDLAND BAY QLD 4165",605m²,4,2,2,790000,https://www.domain.com.au/21-pentecost-place-redland-bay-qld-4165-2017347416
24 OCT 2021,"10 Poynter Street, REDLAND BAY QLD 4165",700m²,5,2,2,865000,https://www.domain.com.au/10-poynter-street-redland-bay-qld-4165-2017331447
21 OCT 2021,"43 Stradbroke Street, REDLAND BAY QLD 4165",402m²,5,2,2,650000,https://www.domain.com.au/43-stradbroke-street-redland-bay-qld-4165-2017331619
15 OCT 2021,"7 Turtle Place, REDLAND BAY QLD 4165",704m²,5,2,3,915000,https://www.domain.com.au/7-turtle-place-redland-bay-qld-4165-2017276706
13 OCT 2021,"9 Magnetic Place, REDLAND BAY QLD 4165",701m²,5,2,2,917000,https://www.domain.com.au/9-magnetic-place-redland-bay-qld-4165-2017303815
13 OCT 2021,"27 Portland Parade, REDLAND BAY QLD 4165",620m²,4,2,2,696500,https://www.domain.com.au/27-portland-parade-redland-bay-qld-4165-2017273265
11 OCT 2021,"11 Phillip Street, REDLAND BAY QLD 4165",607m²,3,2,2,725000,https://www.domain.com.au/11-phillip-street-redland-bay-qld-4165-2017250789
11 OCT 2021,"103 Main Street, REDLAND BAY QLD 4165",401m²,3,2,2,671000,https://www.domain.com.au/103-main-street-redland-bay-qld-4165-2017240970
11 OCT 2021,"14 Forrest Street, REDLAND BAY QLD 4165",700m²,4,2,2,826000,https://www.domain.com.au/14-forrest-street-redland-bay-qld-4165-2017305259
11 OCT 2021,"6 Pentecost Place, REDLAND BAY QLD 4165",512m²,4,2,2,788000,https://www.domain.com.au/6-pentecost-place-redland-bay-qld-4165-2017299223
09 OCT 2021,"2-14 Muriel St, REDLAND BAY QLD 4165","4,782m²",3,2,5,1125000,https://www.domain.com.au/2-14-muriel-st-redland-bay-qld-4165-2017254379
06 OCT 2021,"24 Capella Drive, REDLAND BAY QLD 4165",486m²,4,2,2,800000,https://www.domain.com.au/24-capella-drive-redland-bay-qld-4165-2017391698
06 OCT 2021,"38 BAY STREET, REDLAND BAY QLD 4165",N/A,4,2,2,650000,https://www.domain.com.au/38-bay-street-redland-bay-qld-4165-2016440295
05 OCT 2021,"2/121 Broadwater Terrace, REDLAND BAY QLD 4165",N/A,3,2,2,525000,https://www.domain.com.au/2-121-broadwater-terrace-redland-bay-qld-4165-2017425238
02 OCT 2021,"23a Magnetic Place, REDLAND BAY QLD 4165",450m²,3,2,2,725000,https://www.domain.com.au/23a-magnetic-place-redland-bay-qld-4165-2017282417
01 OCT 2021,"3 Mathison Court, REDLAND BAY QLD 4165",710m²,4,2,3,840000,https://www.domain.com.au/3-mathison-court-redland-bay-qld-4165-2017214151
28 SEP 2021,"26 Jake Circuit, REDLAND BAY QLD 4165",959m²,5,3,3,945000,https://www.domain.com.au/26-jake-circuit-redland-bay-qld-4165-2017223267
28 SEP 2021,"159A Cane Street, REDLAND BAY QLD 4165","1,010m²",6,2,3,950000,https://www.domain.com.au/159a-cane-street-redland-bay-qld-4165-2017222677
24 SEP 2021,"13 Beachwood Street, REDLAND BAY QLD 4165",525m²,4,2,2,636000,https://www.domain.com.au/13-beachwood-street-redland-bay-qld-4165-2017268847
20 SEP 2021,"13 Junee Street, REDLAND BAY QLD 4165",405m²,4,2,2,755000,https://www.domain.com.au/13-junee-street-redland-bay-qld-4165-2017256807
15 SEP 2021,"32 Lime Street, REDLAND BAY QLD 4165",600m²,4,2,2,605000,https://www.domain.com.au/32-lime-street-redland-bay-qld-4165-2017209198
14 SEP 2021,"7 Balsam Street, REDLAND BAY QLD 4165",700m²,5,2,2,680000,https://www.domain.com.au/7-balsam-street-redland-bay-qld-4165-2017205644
14 SEP 2021,"9 Rustic Court, REDLAND BAY QLD 4165",741m²,4,2,3,846300,https://www.domain.com.au/9-rustic-court-redland-bay-qld-4165-2017240999
13 SEP 2021,"58 Pitt Street, REDLAND BAY QLD 4165",710m²,4,2,3,835000,https://www.domain.com.au/58-pitt-street-redland-bay-qld-4165-2017156847
13 SEP 2021,"35 Pinelands Circuit, REDLAND BAY QLD 4165",700m²,4,3,2,835000,https://www.domain.com.au/35-pinelands-circuit-redland-bay-qld-4165-2017224791
13 SEP 2021,"137B Main Street, REDLAND BAY QLD 4165",385m²,4,2,2,630000,https://www.domain.com.au/137b-main-street-redland-bay-qld-4165-2017232381
12 SEP 2021,"12 Lochie Drive, REDLAND BAY QLD 4165",420m²,4,2,2,707717,https://www.domain.com.au/12-lochie-drive-redland-bay-qld-4165-2017235437
10 SEP 2021,"59 Main Street, REDLAND BAY QLD 4165",492m²,3,2,2,587500,https://www.domain.com.au/59-main-street-redland-bay-qld-4165-2017200032
10 SEP 2021,"6 Silky Place, REDLAND BAY QLD 4165",700m²,4,2,2,769000,https://www.domain.com.au/6-silky-place-redland-bay-qld-4165-2017207665
10 SEP 2021,"5/20 Salisbury Street, REDLAND BAY QLD 4165",N/A,3,2,2,525000,https://www.domain.com.au/5-20-salisbury-street-redland-bay-qld-4165-2016949397
08 SEP 2021,"7 Club Crescent, REDLAND BAY QLD 4165",715m²,4,2,2,600000,https://www.domain.com.au/7-club-crescent-redland-bay-qld-4165-2017282890
08 SEP 2021,"47 Portland Parade, REDLAND BAY QLD 4165",600m²,4,2,2,590000,https://www.domain.com.au/47-portland-parade-redland-bay-qld-4165-2017196221
06 SEP 2021,"8 Cane Street, REDLAND BAY QLD 4165",N/A,4,4,2,1277000,https://www.domain.com.au/8-cane-street-redland-bay-qld-4165-2017177163
06 SEP 2021,"4 Myer Street, REDLAND BAY QLD 4165",650m²,5,3,2,770000,https://www.domain.com.au/4-myer-street-redland-bay-qld-4165-2017015741
