Date Sold,Address,Land Area,Beds,Baths,Cars,Sale Price,Link
20 OCT 2021,"52 Malvina Street, RYDE NSW 2112",249m²,3,2,1,1680000,https://www.domain.com.au/52-malvina-street-ryde-nsw-2112-2017322250
14 SEP 2021,"2/297 Morrison Road, RYDE NSW 2112",N/A,3,3,1,1700000,https://www.domain.com.au/2-297-morrison-road-ryde-nsw-2112-2016840461
19 JUN 2021,"2B Rokeva Street, EASTWOOD NSW 2122",N/A,4,3,2,1965000,https://www.domain.com.au/2b-rokeva-street-eastwood-nsw-2122-2017093777
19 JUN 2021,"2C Rokeva Street, EASTWOOD NSW 2122",N/A,4,3,2,1965000,https://www.domain.com.au/2c-rokeva-street-eastwood-nsw-2122-2017036331
20 MAY 2021,"23 Clanwilliam Street, EASTWOOD NSW 2122",449m²,3,1,1,1550000,https://www.domain.com.au/23-clanwilliam-street-eastwood-nsw-2122-2016966479
15 MAY 2021,"3 Wattle Street, WEST RYDE NSW 2114",340m²,3,2,2,1307000,https://www.domain.com.au/3-wattle-street-west-ryde-nsw-2114-2016953478
29 APR 2021,"13 Johnston Road, EASTWOOD NSW 2122",N/A,4,3,2,1770000,https://www.domain.com.au/13-johnston-road-eastwood-nsw-2122-2016904240
10 APR 2021,"11a Milton Avenue, EASTWOOD NSW 2122",N/A,5,3,2,2050000,https://www.domain.com.au/11a-milton-avenue-eastwood-nsw-2122-2016878183
06 APR 2021,"72 Balaclava Road, EASTWOOD NSW 2122",413m²,6,3,2,2300000,https://www.domain.com.au/72-balaclava-road-eastwood-nsw-2122-2016872464
23 FEB 2021,"2 Pratten Avenue, RYDE NSW 2112",362m²,5,3,1,1836000,https://www.domain.com.au/2-pratten-avenue-ryde-nsw-2112-2016833322
19 DEC 2020,"18 Vimiera Road, EASTWOOD NSW 2122",390m²,5,4,2,1915000,https://www.domain.com.au/18-vimiera-road-eastwood-nsw-2122-2016676849
11 DEC 2020,"615B Blaxland Road, EASTWOOD NSW 2122",N/A,6,4,3,1730000,https://www.domain.com.au/615b-blaxland-road-eastwood-nsw-2122-2016536828
30 SEP 2020,"16A Sybil Street, EASTWOOD NSW 2122",N/A,4,3,1,1610000,https://www.domain.com.au/16a-sybil-street-eastwood-nsw-2122-2016483924
30 SEP 2020,"116A Church Street, RYDE NSW 2112",N/A,3,2,2,910000,https://www.domain.com.au/116a-church-street-ryde-nsw-2112-2016458468
15 AUG 2020,"55A Marsden Road, WEST RYDE NSW 2114",N/A,4,3,2,1175000,https://www.domain.com.au/55a-marsden-road-west-ryde-nsw-2114-2016395694
